Virus name	Accession ID	Pango lineage
hCoV-19/USA/WA-S5451/2021	EPI_ISL_1222660	C.16
hCoV-19/USA/TX-CDC-QDX22290553/2021	EPI_ISL_1220626	B.1.1.291
hCoV-19/USA/NM-UNM-TC229874/2020	EPI_ISL_1225249	B.1.570
hCoV-19/USA/NM-UNM-TC229891/2020	EPI_ISL_1225263	B.1.289
hCoV-19/USA/VA-CDC-2-3923818/2021	EPI_ISL_1226110	B.1.1.274
hCoV-19/USA/NY-Wadsworth-21011104-01/2021	EPI_ISL_1227320	B.1.236
hCoV-19/USA/NY-Wadsworth-21020546-01/2021	EPI_ISL_1227411	B.1.503
hCoV-19/USA/NY-Wadsworth-21012338-01/2021	EPI_ISL_1227840	B.1.585
hCoV-19/USA/NY-Wadsworth-21014322-01/2020	EPI_ISL_1228054	B.1.1.467
hCoV-19/USA/NY-Wadsworth-21012328-01/2021	EPI_ISL_1228157	B.1.1.397
hCoV-19/USA/MD-MDH-0469/2020	EPI_ISL_1233954	B.1.1.265
hCoV-19/USA/CO-CDPHE-2100509191/2021	EPI_ISL_1234167	A.27
hCoV-19/USA/CO-CDPHE-2100529351/2021	EPI_ISL_1234258	B.1.1.417
hCoV-19/USA/AZ-ASPHL-2744/2020	EPI_ISL_1239097	B.1.360
hCoV-19/USA/TX-HMH-MCoV-27355/2021	EPI_ISL_1237137	C.36.3
hCoV-19/USA/TX-HMH-MCoV-27015/2021	EPI_ISL_1236796	B.1.595.2
hCoV-19/USA/TX-HMH-MCoV-26119/2021	EPI_ISL_1235899	B.1.558
hCoV-19/USA/TX-HMH-MCoV-27597/2021	EPI_ISL_1237379	B.1.497
hCoV-19/USA/TX-HMH-MCoV-27538/2021	EPI_ISL_1237320	B.1.94
hCoV-19/USA/TX-HMH-MCoV-27977/2021	EPI_ISL_1237759	B.1.413
hCoV-19/USA/TX-HMH-MCoV-28511/2021	EPI_ISL_1238294	B.1.434
hCoV-19/USA/TX-HMH-MCoV-28548/2021	EPI_ISL_1238332	B.1.1.169
hCoV-19/USA/TX-HMH-MCoV-28537/2021	EPI_ISL_1238321	B.1.195
hCoV-19/USA/NC-UNC-0308/2021	EPI_ISL_1240874	B.1.229
hCoV-19/USA/IL-CDC-4011524-001/2021	EPI_ISL_1196895	B.1.1.370
hCoV-19/USA/NC-CDC-STM-000014190/2021	EPI_ISL_1262281	B.1.438.3
hCoV-19/USA/MA-CDC-STM-000023179/2021	EPI_ISL_1270595	A.23.1
hCoV-19/USA/MA-CDC-STM-000023222/2021	EPI_ISL_1270635	B.1.604
hCoV-19/USA/GA-CDC-STM-000021270/2021	EPI_ISL_1269311	B.1.160.20
hCoV-19/USA/IL-CDC-STM-000019317/2021	EPI_ISL_1268971	B.1.1.17
hCoV-19/USA/FL-CDC-STM-000019480/2021	EPI_ISL_1268593	B.1.1.10
hCoV-19/USA/PA-CDC-STM-000015588/2021	EPI_ISL_1268126	B.1.1.57
hCoV-19/USA/MD-MDH-1294/2021	EPI_ISL_1272214	Q.4
hCoV-19/USA/AZ-CDC-QDX22554229/2021	EPI_ISL_1290992	B.1.243.1
hCoV-19/USA/AZ-TG758906/2020	EPI_ISL_1292274	B.1.443
hCoV-19/USA/CA-SEARCH-7447/2021	EPI_ISL_1295736	Q.3
hCoV-19/USA/CA-SEARCH-7479/2021	EPI_ISL_1295764	Q.3
hCoV-19/USA/AZ-TG761297/2020	EPI_ISL_1297097	B.1.1.244
hCoV-19/USA/NY-MSHSPSP-PV26597/2021	EPI_ISL_1301384	B.1.1.39
hCoV-19/USA/TX-HMH-MCoV-26653/2021	EPI_ISL_1236433	B.1.589
hCoV-19/USA/TX-HMH-MCoV-29011/2021	EPI_ISL_1303579	B.1.485
hCoV-19/USA/NY-PRL-2021_03_17_00F02/2021	EPI_ISL_1306284	B.1.1.318
hCoV-19/USA/NY-PRL-2021_03_11_00A07/2021	EPI_ISL_1307052	B.1.1.312
hCoV-19/USA/NY-PRL-2021_03_11_00K23/2021	EPI_ISL_1307229	B.1.247
hCoV-19/USA/NY-PRL-2021_03_12_00C17/2021	EPI_ISL_1307347	B.1.237
hCoV-19/USA/WY-WPHL-20169801/2020	EPI_ISL_1314129	B.1.36.38
hCoV-19/USA/SD-SDPHL-0098/2020	EPI_ISL_1314874	B.1.382
hCoV-19/USA/NE-NCOV21-13467/2021	EPI_ISL_1315076	B.1.9
hCoV-19/USA/NV-NSPHL-NV2061625/2021	EPI_ISL_1315117	B.1.1.174
hCoV-19/USA/CA-UCSF-JD710/2021	EPI_ISL_1318780	B.1.157
hCoV-19/USA/CA-UCSF-JD868/2021	EPI_ISL_1318931	B.1.401
hCoV-19/USA/FL-CDC-STM-000019344/2021	EPI_ISL_1337127	P.1.10
hCoV-19/USA/FL-CDC-STM-000020602/2021	EPI_ISL_1337198	Q.3
hCoV-19/USA/PA-CDC-STM-000031532/2021	EPI_ISL_1338373	B.1.1.328
hCoV-19/USA/IN-CDC-STM-000028432/2021	EPI_ISL_1340364	B.1.1.70
hCoV-19/USA/IL-NM-6700/2021	EPI_ISL_1340801	B.1.177.53
hCoV-19/USA/TX-DSHS-4419/2021	EPI_ISL_1363042	B.1.305
hCoV-19/USA/AZ-TG767847/2020	EPI_ISL_1363640	A.1
hCoV-19/USA/VA-DCLS-3638/2021	EPI_ISL_1364594	B.1.214.2
hCoV-19/USA/CA-CDC-4001540-001/2021	EPI_ISL_1373874	B.1.555
hCoV-19/USA/FL-TGH-0116/2020	EPI_ISL_1379520	A
hCoV-19/USA/NY-PRL-2021_03_24_00P15/2021	EPI_ISL_1385573	B.1.621
hCoV-19/USA/NY-PRL-2021_03_25_00B16/2021	EPI_ISL_1385599	B.1.1.220
hCoV-19/USA/IN-CDC-STM-000033123/2021	EPI_ISL_1391746	B.1.438.4
hCoV-19/USA/NY-Wadsworth-21015710-01/2021	EPI_ISL_1397518	B.1.177.86
hCoV-19/USA/NY-Wadsworth-21027851-01/2021	EPI_ISL_1397612	B.1.1.269
hCoV-19/USA/NY-Wadsworth-21028672-01/2021	EPI_ISL_1397648	A
hCoV-19/USA/NY-Wadsworth-21017148-01/2021	EPI_ISL_1397778	B.1.1.39
hCoV-19/USA/NY-Wadsworth-21028630-01/2021	EPI_ISL_1397898	B.1.1.525
hCoV-19/USA/NY-Wadsworth-21027296-01/2021	EPI_ISL_1398127	B.1.563
hCoV-19/USA/AZ-TG772655/2021	EPI_ISL_1363716	B.1.627
hCoV-19/USA/MI-UM-10038863060/2021	EPI_ISL_1406269	B.1.630
hCoV-19/USA/IN-INSPHL-00372/2021	EPI_ISL_1416240	B.1.36.29
hCoV-19/USA/WI-WSLH-212285/2021	EPI_ISL_1421699	B.1.1.334
hCoV-19/USA/WV-WVU-WV090170/2021	EPI_ISL_1423260	B.1.595.4
hCoV-19/USA/VA-DCLS-4069/2021	EPI_ISL_1445054	B.1.1.170
hCoV-19/USA/NY-NYCPHL-003948/2021	EPI_ISL_1447186	B.1.1.217
hCoV-19/USA/PA-CDC-STM-000033856/2021	EPI_ISL_1443958	B.1.137
hCoV-19/USA/CA-CDC-QDX23009916/2021	EPI_ISL_1444463	B.1.103
hCoV-19/USA/WA-UW-67258/2021	EPI_ISL_1448224	B.1.438.1
hCoV-19/USA/CA-CDC-FG-010805/2021	EPI_ISL_1458187	B.1.1.216
hCoV-19/USA/CA-CDC-FG-010657/2021	EPI_ISL_1458100	B.1.1.163
hCoV-19/USA/FL-CDC-FG-009821/2021	EPI_ISL_1458430	B.1.466.2
hCoV-19/USA/CA-CDC-FG-012812/2021	EPI_ISL_1460182	B.1.564.1
hCoV-19/USA/CA-CDC-FG-006598/2021	EPI_ISL_1458968	B.1.1.216
hCoV-19/USA/AZ-TG780164/2020	EPI_ISL_1464920	B.1.142
hCoV-19/USA/AZ-TG785101/2020	EPI_ISL_1464725	B.1.177.44
hCoV-19/USA/CA-UCSC-268/2020	EPI_ISL_1469867	B.1.402
hCoV-19/USA/CA-CZB-27309/2020	EPI_ISL_1477554	B.1.1.418
hCoV-19/USA/CA-CZB-28435/2021	EPI_ISL_1478146	B.1.1.344
hCoV-19/USA/IL-21WGS137/2021	EPI_ISL_1478879	P.1.1
hCoV-19/USA/CA-CDC-QDX23090605/2021	EPI_ISL_1479789	B.1.471
hCoV-19/USA/CA-CDC-FG-007101/2021	EPI_ISL_1482075	C.36.3
hCoV-19/USA/MO-CDC-LC0026903/2021	EPI_ISL_1481418	Q.8
hCoV-19/USA/SC-MUSC-0585/2021	EPI_ISL_1482948	B.1.595.3
hCoV-19/USA/CA-SC210427/2021	EPI_ISL_1483794	B.1.617.1
hCoV-19/USA/CA-CDC-QDX23179759/2021	EPI_ISL_1491950	B.1.617.1
hCoV-19/USA/WA-UW-68059/2021	EPI_ISL_1498061	B.1.617.1
hCoV-19/USA/NY-CUIMC-NP-3678/2020	EPI_ISL_1500502	B.1.1.83
hCoV-19/USA/NY-CUIMC-NP-5452/2021	EPI_ISL_1500623	B.1.1.34
hCoV-19/USA/FL-CDC-IBX285826051607/2021	EPI_ISL_1513133	C.35
hCoV-19/USA/CA-CDC-IBX104489773105/2020	EPI_ISL_1512861	B.1.177.82
hCoV-19/USA/IL-C21WGS0061/2021	EPI_ISL_1520165	P.6
hCoV-19/USA/CO-CDC-ASC210013727/2021	EPI_ISL_1525100	P.7
hCoV-19/USA/CA-CDC-FG-015080/2021	EPI_ISL_1525595	P.3
hCoV-19/USA/GA-CDC-STM-000037310/2021	EPI_ISL_1553609	B.1.351.3
hCoV-19/USA/TX-CDC-FG-013293/2021	EPI_ISL_1556264	Q.5
hCoV-19/USA/CA-CDC-FG-015192/2021	EPI_ISL_1556928	B.1.351.2
hCoV-19/USA/NJ-CDC-ASC210009473/2021	EPI_ISL_1562122	B.1.170
hCoV-19/USA/NY-CDC-ASC210007553/2021	EPI_ISL_1561388	AE.2
hCoV-19/USA/IL-CDC-ASC210010237/2021	EPI_ISL_1563197	P.1.3
hCoV-19/USA/MO-CDC-ASC210007991/2021	EPI_ISL_1563602	B.1.1.335
hCoV-19/USA/MD-MDH-1661/2021	EPI_ISL_1576771	B.1.620
hCoV-19/USA/TX-CDC-STM-000043273/2021	EPI_ISL_1576591	B.1.470
hCoV-19/USA/CA-CDC-STM-000042126/2021	EPI_ISL_1576046	AZ.3
hCoV-19/USA/MI-UM-S768052/2021	EPI_ISL_1580498	P.1.10
hCoV-19/USA/NY-Wadsworth-21038081-01/2021	EPI_ISL_1582246	B.1.499.1
hCoV-19/USA/CA-CDC-QDX23358467/2021	EPI_ISL_1559549	B.1.627
hCoV-19/USA/FL-CDC-ASC210018114/2021	EPI_ISL_1560928	B.1.625
hCoV-19/USA/OR-TRACE-BENT-111520-149/2020	EPI_ISL_1585052	B.1.1.134
hCoV-19/USA/OH-CDC-QDX23354992/2021	EPI_ISL_1582104	B.1.36.29
hCoV-19/USA/MI-CDC-IBX002609320124/2021	EPI_ISL_1587585	C.37.1
hCoV-19/USA/WY-WPHL-20150987/2020	EPI_ISL_1593520	B.1.1.437
hCoV-19/USA/WY-WPHL-20170691/2020	EPI_ISL_1593592	B.1.466.1
hCoV-19/USA/AZ-TG780108/2020	EPI_ISL_1550886	B.1.1.72
hCoV-19/USA/CA-CDC-FG-018636/2021	EPI_ISL_1612996	C.38
hCoV-19/USA/PA-CDC-LC0038140/2021	EPI_ISL_1611392	B.1.1.528
hCoV-19/USA/WA-UW-2021040305068/2021	EPI_ISL_1628260	B.1.1.372
hCoV-19/USA/NY-CDC-ASC210010968/2021	EPI_ISL_1649154	P.1.2
hCoV-19/USA/NC-CDC-ASC210020035/2021	EPI_ISL_1650043	B.1.1.487
hCoV-19/USA/TX-DSHS-5541/2021	EPI_ISL_1660547	B.1.634
hCoV-19/USA/CA-CZB-29427/2021	EPI_ISL_1664098	B.1.417
hCoV-19/USA/NY-Wadsworth-21038193-01/2021	EPI_ISL_1671642	C.36.3.1
hCoV-19/USA/NY-CDC-LC0041077/2021	EPI_ISL_1681445	B.1.533
hCoV-19/USA/MA-CDC-STM-000048585/2021	EPI_ISL_1679664	A.2.5.1
hCoV-19/USA/PA-CDC-ASC210026169/2021	EPI_ISL_1685597	C.37.1
hCoV-19/USA/FL-CDC-QDX23271708/2021	EPI_ISL_1694952	P.1
hCoV-19/USA/IL-C21WGS0257/2021	EPI_ISL_1742340	P.1.12
hCoV-19/USA/IL-C21WGS0294/2021	EPI_ISL_1742374	P.1.12
hCoV-19/USA/IL-C21WGS0302/2021	EPI_ISL_1742380	P.1.12
hCoV-19/USA/FL-CDC-QDX23760707/2021	EPI_ISL_1753331	A.28
hCoV-19/USA/CA-CDC-QDX23803799/2021	EPI_ISL_1753145	AY.16
hCoV-19/USA/CA-SEARCH-9063/2020	EPI_ISL_1794838	B.1.1.370
hCoV-19/USA/CA-SEARCH-9208/2021	EPI_ISL_1794944	P.1.7
hCoV-19/USA/CA-CDC-QDX23803916/2021	EPI_ISL_1798071	AY.9
hCoV-19/USA/TN-CDC-LC0047462/2021	EPI_ISL_1801128	B.1.1.528
hCoV-19/USA/CA-SEARCH-17605/2020	EPI_ISL_1811673	B.1.1.512
hCoV-19/USA/CA-SEARCH-12002/2021	EPI_ISL_1811674	AY.33
hCoV-19/USA/CA-SEARCH-15106/2021	EPI_ISL_1812299	B.1.1.389
hCoV-19/USA/CA-SEARCH-16222/2021	EPI_ISL_1812339	B.1.1.128
hCoV-19/USA/CA-CDC-FG-027732/2021	EPI_ISL_1839564	AK.1
hCoV-19/USA/MA-CDC-ASC210048704/2021	EPI_ISL_1836007	AY.16
hCoV-19/USA/IL-CDC-ASC210052182/2021	EPI_ISL_1837357	B.1.1.133
hCoV-19/USA/MD-MDH-2079/2021	EPI_ISL_1908476	B.1.1.380
hCoV-19/USA/UT-UPHL-2104974146/2020	EPI_ISL_1910736	B.1.425
hCoV-19/USA/CA-SC-CASC210739/2020	EPI_ISL_1920840	B.1.323
hCoV-19/USA/SC-CDC-LC0050258/2021	EPI_ISL_1926367	C.40
hCoV-19/USA/PA-CDC-LC0051044/2021	EPI_ISL_1928160	B.1.621
hCoV-19/USA/CA-CDC-QDX24087348/2021	EPI_ISL_1924762	B.1.617.2
hCoV-19/USA/NC-UNCC-000511/2020	EPI_ISL_1938265	B.1.578
hCoV-19/USA/GA-CDC-STM-000057983/2021	EPI_ISL_1942165	AY.37
hCoV-19/USA/CA-SEARCH-9445/2020	EPI_ISL_1969338	B.1.166
hCoV-19/USA/TX-CDC-QDX24087499/2021	EPI_ISL_1989941	AY.20
hCoV-19/USA/NJ-CDC-ASC210056197/2021	EPI_ISL_1995876	AY.12
hCoV-19/USA/FL-CDC-ASC210056157/2021	EPI_ISL_1997385	B.1.258.17
hCoV-19/USA/MA-CDC-STM-000060635/2021	EPI_ISL_1990854	B.1.1.523
hCoV-19/USA/WA-UW-21041920310/2021	EPI_ISL_2002689	AY.4
hCoV-19/USA/MI-UM-10039403616/2021	EPI_ISL_2007464	B.1.36.9
hCoV-19/USA/MN-CDC-IBX559506350981/2021	EPI_ISL_2013124	B.1.1.63
hCoV-19/USA/WY-WYPHL20135077/2020	EPI_ISL_2018006	B.1.1.453
hCoV-19/USA/MN-MDH-6558/2021	EPI_ISL_2018161	B.1.621
hCoV-19/USA/WA-UW-21042193850/2021	EPI_ISL_2031484	B.1.1.528
hCoV-19/USA/CA-UCSC-502/2020	EPI_ISL_2031844	B.1.1.139
hCoV-19/USA/WA-UW-21042249403/2021	EPI_ISL_2037537	AY.33
hCoV-19/USA/NJ-CDC-ASC210075498/2021	EPI_ISL_2038980	AY.17
hCoV-19/USA/WV-CDC-ASC210074312/2021	EPI_ISL_2040966	B.1.1.10
hCoV-19/USA/TX-CDC-ASC210034732/2021	EPI_ISL_2042958	B.1.617.2
hCoV-19/USA/CA-CDC-ASC210036337/2021	EPI_ISL_2042756	AY.4
hCoV-19/USA/MN-CDC-IBX732961472487/2021	EPI_ISL_2088205	A.2.5.3
hCoV-19/USA/WY-WYPHL-20142733/2020	EPI_ISL_2090984	B.1.425
hCoV-19/USA/MA-CDCBI-CRSP_FXKOVLFWMGPIOVJL/2021	EPI_ISL_2096400	B.1.1.523
hCoV-19/USA/FL-CDC-FG-032449/2021	EPI_ISL_2134104	B.1.630
hCoV-19/USA/FL-CDC-QDX24476717/2021	EPI_ISL_2143008	AY.35
hCoV-19/USA/RI-CDC-ASC210036871/2021	EPI_ISL_2145969	B.1.626
hCoV-19/USA/CA-CDC-ASC210038308/2021	EPI_ISL_2148120	AY.13
hCoV-19/USA/NJ-CDC-ASC210037811/2021	EPI_ISL_2148350	C.36.3.1
hCoV-19/USA/CA-CDC-ASC210057985/2021	EPI_ISL_2147930	AY.14
hCoV-19/USA/TX-CDC-ASC210059619/2021	EPI_ISL_2146606	AY.26
hCoV-19/USA/TN-CDC-ASC210029984/2021	EPI_ISL_2149715	AY.1
hCoV-19/USA/CA-CDC-ASC210030375/2021	EPI_ISL_2149395	AY.28
hCoV-19/USA/CA-CDC-FG-033593/2021	EPI_ISL_2160840	AY.14
hCoV-19/USA/NY-CDC-ASC210062443/2021	EPI_ISL_2181391	AY.35
hCoV-19/USA/NJ-NYGC-NJ-BioR-618-swab-QIAseq/2020	EPI_ISL_2193786	B.1.488
hCoV-19/USA/NJ-NYGC-NJ-BioR-JSUMC-098-swab-QIAseq/2020	EPI_ISL_2193793	B.1.498
hCoV-19/USA/WA-CDC-UW21050568692/2021	EPI_ISL_2194214	A.2.5.1
hCoV-19/USA/UT-UPHL-2104969248/2021	EPI_ISL_2201719	B.1.554
hCoV-19/USA/UT-UPHL-2104221724/2021	EPI_ISL_2201722	B.1.370
hCoV-19/USA/CA-CDC-ASC210063298/2021	EPI_ISL_2204788	AY.13
hCoV-19/USA/TX-HMH-MCoV-37577/2020	EPI_ISL_2210330	B.1.456
hCoV-19/USA/TX-HMH-MCoV-37925/2020	EPI_ISL_2213208	B.1.179
hCoV-19/USA/TX-HMH-MCoV-34128/2020	EPI_ISL_2202719	B.1.1.37
hCoV-19/USA/TX-HMH-MCoV-36782/2020	EPI_ISL_2207700	B.1.350
hCoV-19/USA/TX-HMH-MCoV-36960/2020	EPI_ISL_2208296	B.1.127
hCoV-19/USA/TX-HMH-MCoV-32945/2020	EPI_ISL_2191590	B.1.67
hCoV-19/USA/TX-HMH-MCoV-41086/2020	EPI_ISL_2214995	B.1.119
hCoV-19/USA/TX-HMH-MCoV-37374/2020	EPI_ISL_2209005	B.1.1.301
hCoV-19/USA/TX-HMH-MCoV-38620/2021	EPI_ISL_2213652	B.1.1.117
hCoV-19/USA/TX-HMH-MCoV-38657/2021	EPI_ISL_2213811	B.1.124
hCoV-19/USA/TX-HMH-MCoV-37993/2020	EPI_ISL_2213441	B.1.1.526
hCoV-19/USA/TX-HMH-MCoV-35763/2021	EPI_ISL_2201186	Q.2
hCoV-19/USA/TX-HMH-MCoV-33213/2020	EPI_ISL_2200169	B.1.416
hCoV-19/USA/TX-HMH-MCoV-33871/2020	EPI_ISL_2202010	B.1.530
hCoV-19/USA/TX-HMH-MCoV-35988/2020	EPI_ISL_2204743	B.1.1.95
hCoV-19/USA/FL-CDC-STM-000069912/2021	EPI_ISL_2270252	AY.15
hCoV-19/USA/MA-Yale-5252/2020	EPI_ISL_2284147	B.1.1.359
hCoV-19/USA/IL-CDC-ASC210064165/2021	EPI_ISL_2280386	AY.19
hCoV-19/USA/AZ-ASPHL-137/2021	EPI_ISL_2285990	B.1.319
hCoV-19/USA/UT-UPHL-2105564359/2020	EPI_ISL_2290986	B.1.1.392
hCoV-19/USA/UT-UPHL-2105259481/2020	EPI_ISL_2291257	B.1.258.23
hCoV-19/USA/UT-UPHL-2105678639/2021	EPI_ISL_2291858	B.1.1.149
hCoV-19/USA/NE-NCOV21-21951/2021	EPI_ISL_2308385	B.1.1.261
hCoV-19/USA/CO-CDPHE-2100938159/2021	EPI_ISL_2309970	B.1.631
hCoV-19/USA/CO-CDPHE-2011134720/2020	EPI_ISL_2310377	B.1.403
hCoV-19/USA/OH-21AM-029CO00298/2021	EPI_ISL_2312818	B.1.549
hCoV-19/USA/MD-HP05661/2021	EPI_ISL_2331508	B.1.459
hCoV-19/USA/CA-SEARCH-100957/2021	EPI_ISL_2329336	B.1.177.60
hCoV-19/USA/CA-SEARCH-100956/2020	EPI_ISL_2329335	B.1.510
hCoV-19/USA/CA-TCPHL-032921-17/2021	EPI_ISL_2341189	B.1.76
hCoV-19/USA/CA-CDC-FG-035508/2021	EPI_ISL_2371553	AY.2
hCoV-19/USA/CA-CDC-FG-035524/2021	EPI_ISL_2371543	AY.2
hCoV-19/USA/OH-21AM-061CO00226/2021	EPI_ISL_2399578	B.1.1.161
hCoV-19/USA/MN-MDH-7800/2020	EPI_ISL_2403700	D.2
hCoV-19/USA/MO-CDC-QDX25164659/2021	EPI_ISL_2439530	AY.3
hCoV-19/USA/MO-CDC-QDX25164605/2021	EPI_ISL_2439351	AY.3
hCoV-19/USA/TX-CDC-QDX25164455/2021	EPI_ISL_2439373	AY.9
hCoV-19/USA/NY-PRL-2021_0601_00B22/2021	EPI_ISL_2446053	AY.1
hCoV-19/USA/MN-MDH-7945/2021	EPI_ISL_2455341	B.1.621.1
hCoV-19/USA/TX-CDC-FG-036640/2021	EPI_ISL_2480013	AY.23
hCoV-19/USA/AZ-ASU6277/2021	EPI_ISL_2484043	AY.7.2
hCoV-19/USA/AZ-ASU6477/2021	EPI_ISL_2484126	Q.7
hCoV-19/USA/AR-UNM-M00425124/2021	EPI_ISL_2484751	AY.33
hCoV-19/USA/UT-CDC-ASC210105927/2021	EPI_ISL_2489290	AY.7.1
hCoV-19/USA/TX-CDC-ASC210067083/2021	EPI_ISL_2489498	AY.25
hCoV-19/USA/KS-KHEL-2290/2021	EPI_ISL_2499948	Q.6
hCoV-19/USA/CA-CZB-31912/2021	EPI_ISL_2500204	Q.7
hCoV-19/USA/WI-MHDL-70238/2021	EPI_ISL_2500321	B.1.487
hCoV-19/USA/WA-ISB27/2020	EPI_ISL_2504186	B.1.371
hCoV-19/USA/TX-CDC-FG-036906/2021	EPI_ISL_2527708	AY.24
hCoV-19/USA/FL-CDC-ASC210107197/2021	EPI_ISL_2528834	AY.5
hCoV-19/USA/NY-CDC-FG-035911/2021	EPI_ISL_2525991	AY.1
hCoV-19/USA/AZ-ASPHL-467/2021	EPI_ISL_2536956	B.1.1.480
hCoV-19/USA/WI-WSLH-214932/2021	EPI_ISL_2558139	AY.19
hCoV-19/USA/WA-UW-21043079234/2021	EPI_ISL_2618295	B.1.621.1
hCoV-19/USA/CA-LACPHL-AF01298/2020	EPI_ISL_2620823	B.1.421
hCoV-19/USA/AZ-ASPHL-469/2021	EPI_ISL_2628211	B.12
hCoV-19/USA/NY-PRL-2021_0614_52P17/2021	EPI_ISL_2634240	B.1.214.3
hCoV-19/USA/MS-UMMC-X7A2-210999022151/2021	EPI_ISL_2646330	AY.3.1
hCoV-19/USA/CO-CDC-MMB08723356/2021	EPI_ISL_2646650	AY.25
hCoV-19/USA/CA-CZB-15499/2020	EPI_ISL_2658688	B.1.1.450
hCoV-19/USA/CA-CZB-19120/2020	EPI_ISL_2659251	B.1.1.285
hCoV-19/USA/AZ-TG923463/2020	EPI_ISL_2671923	B.1.408
hCoV-19/USA/CA-CDC-ASC210108490/2021	EPI_ISL_2687320	AY.1
hCoV-19/USA/NY-PRL-2021_0623_51L21/2021	EPI_ISL_2715912	B.1.1.309
hCoV-19/USA/NY-PRL-2021_0623_52N09/2021	EPI_ISL_2715954	B.1.1.243
hCoV-19/USA/NY-PRL-2021_0624_52O23/2021	EPI_ISL_2716049	B.1.36.24
hCoV-19/USA/NV-SNPHL-359987/2021	EPI_ISL_2716937	AY.16
hCoV-19/USA/CA-CDPH-2000027959/2021	EPI_ISL_2776341	B.1.1.413
hCoV-19/USA/CA-CDPH-2000046323/2021	EPI_ISL_2778903	AY.30
hCoV-19/USA/CA-CDPH-2000027534/2021	EPI_ISL_2782708	B.1.575.1
hCoV-19/USA/MN-CDC-IBX452354550864/2021	EPI_ISL_2786660	B.1.415.1
hCoV-19/USA/CA-CDC-ASC210110562/2021	EPI_ISL_2785062	AY.20
hCoV-19/USA/TN-CDC-ASC210109966/2021	EPI_ISL_2784857	AY.30
hCoV-19/USA/CA-CDC-FG-038473/2021	EPI_ISL_2785840	AY.20
hCoV-19/USA/CA-CDPH-2000032898/2021	EPI_ISL_2796879	B.1.36.36
hCoV-19/USA/CA-CDPH-2000016877/2021	EPI_ISL_2797424	B.1.422
hCoV-19/USA/CA-CDPH-2000031291/2021	EPI_ISL_2797555	B.3
hCoV-19/USA/CA-CDPH-2000043039/2021	EPI_ISL_2825701	B.1.340
hCoV-19/USA/CA-CDPH-3000007555/2021	EPI_ISL_2837919	AY.10
hCoV-19/USA/CA-CDPH-3000010033/2021	EPI_ISL_2853916	B.1.366
hCoV-19/USA/UT-UPHL-210621085791/2021	EPI_ISL_2856588	AY.12
hCoV-19/USA/TX-CDC-QDX25847818/2021	EPI_ISL_2870412	AY.11
hCoV-19/USA/CA-CDPH-3000027052/2021	EPI_ISL_2890389	B.1.499
hCoV-19/USA/NC-CDC-QDX26177488/2021	EPI_ISL_2874366	AY.38
hCoV-19/USA/CA-CDC-ASC210154294/2021	EPI_ISL_2875867	AY.34
hCoV-19/USA/ND-NDDH-02686/2021	EPI_ISL_2920134	B.1.36.19
hCoV-19/USA/WY-WYPHL-20129837/2020	EPI_ISL_2925653	AM.2
hCoV-19/USA/AZ-TG954882/2020	EPI_ISL_2919906	B.1.1.403
hCoV-19/USA/AZ-TG954762/2020	EPI_ISL_2919323	B.1.1.400
hCoV-19/USA/CA-OC-139/2021	EPI_ISL_2928207	B.1.632
hCoV-19/USA/WY-WYPHL-20126944/2020	EPI_ISL_2931250	B.1.1.277
hCoV-19/USA/CA-CDC-QDX26300102/2021	EPI_ISL_2929554	AY.24
hCoV-19/USA/VA-DCLS-5915/2021	EPI_ISL_3048080	B.1.632
hCoV-19/USA/CA-Stanford-32_S08/2021	EPI_ISL_3050221	AY.11
hCoV-19/USA/CA-CDPH-2000005191/2020	EPI_ISL_3067288	B.1.340
hCoV-19/USA/IL-S21WGS2441/2021	EPI_ISL_3088409	AY.32
hCoV-19/USA/CA-CDPH-2000030380/2021	EPI_ISL_3090695	B.1.618
hCoV-19/USA/LA-BIE-LSUH001318/2021	EPI_ISL_3090982	AY.6
hCoV-19/USA/NH-CDCBI-CRSP_DREAP5D2K3BIWWQ3/2021	EPI_ISL_3085049	AY.9
hCoV-19/USA/CA-CDPH-2000030618/2021	EPI_ISL_3101761	B.1.506
hCoV-19/USA/CA-CDPH-2000030779/2021	EPI_ISL_3101901	B.1.143
hCoV-19/USA/FL-CDC-LC0093761/2021	EPI_ISL_3111625	B.1.621
hCoV-19/USA/CA-CDPH-2000025334/2021	EPI_ISL_3127564	B.1.437
hCoV-19/USA/CA-SEARCH-103214/2021	EPI_ISL_2920321	B.1.1.45
hCoV-19/USA/NY-CUIMC-NP-4378/2021	EPI_ISL_3232451	B.1.1.407
hCoV-19/USA/WI-WSLH-216132/2021	EPI_ISL_3234792	B.1.621.1
hCoV-19/USA/NC-UNC-1818/2021	EPI_ISL_3231499	AY.22
hCoV-19/USA/NY-CDC-FG-048485/2021	EPI_ISL_3301191	B.1.415.1
hCoV-19/USA/CA-CDC-FG-051372/2021	EPI_ISL_3302937	AY.6
hCoV-19/USA/OR-OHSU-212010401/2021	EPI_ISL_3319780	B.1.1.61
hCoV-19/USA/OR-OHSU-212010415/2021	EPI_ISL_3319783	B.1.495
hCoV-19/USA/FL-CDC-LC0100287/2021	EPI_ISL_3330453	AY.29
hCoV-19/USA/FL-CDC-LC0109476/2021	EPI_ISL_3328698	AY.3.1
